Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2021,08,28,17.1,1,N
IDCJAC0010,086282,2021,08,29,15.4,1,N
IDCJAC0010,086282,2021,08,30,17.0,1,N
IDCJAC0010,086282,2021,08,31,20.0,1,N
IDCJAC0010,086282,2021,09,01,22.3,1,N
IDCJAC0010,086282,2021,09,02,24.5,1,N
IDCJAC0010,086282,2021,09,03,23.3,1,N
IDCJAC0010,086282,2021,09,04,13.3,1,N
IDCJAC0010,086282,2021,09,05,13.9,1,N
IDCJAC0010,086282,2021,09,06,15.5,1,N
IDCJAC0010,086282,2021,09,07,15.6,1,N
IDCJAC0010,086282,2021,09,08,20.4,1,N
IDCJAC0010,086282,2021,09,09,24.3,1,N
IDCJAC0010,086282,2021,09,10,19.7,1,N
IDCJAC0010,086282,2021,09,11,23.3,1,N
IDCJAC0010,086282,2021,09,12,15.4,1,N
IDCJAC0010,086282,2021,09,13,13.9,1,N
IDCJAC0010,086282,2021,09,14,14.7,1,N
IDCJAC0010,086282,2021,09,15,14.8,1,N
IDCJAC0010,086282,2021,09,16,16.9,1,N
IDCJAC0010,086282,2021,09,17,20.5,1,N
IDCJAC0010,086282,2021,09,18,16.5,1,N
IDCJAC0010,086282,2021,09,19,17.7,1,N
IDCJAC0010,086282,2021,09,20,14.0,1,N
IDCJAC0010,086282,2021,09,21,13.2,1,N
IDCJAC0010,086282,2021,09,22,19.1,1,N
IDCJAC0010,086282,2021,09,23,20.6,1,N
IDCJAC0010,086282,2021,09,24,18.2,1,N
IDCJAC0010,086282,2021,09,25,13.5,1,N
IDCJAC0010,086282,2021,09,26,14.5,1,N
IDCJAC0010,086282,2021,09,27,18.8,1,N
IDCJAC0010,086282,2021,09,28,22.6,1,N
IDCJAC0010,086282,2021,09,29,17.9,1,N
IDCJAC0010,086282,2021,09,30,18.0,1,N
IDCJAC0010,086282,2021,10,01,20.8,1,N
IDCJAC0010,086282,2021,10,02,17.5,1,N
IDCJAC0010,086282,2021,10,03,21.8,1,N
IDCJAC0010,086282,2021,10,04,17.3,1,N
IDCJAC0010,086282,2021,10,05,17.5,1,N
IDCJAC0010,086282,2021,10,06,21.3,1,N
IDCJAC0010,086282,2021,10,07,16.6,1,N
IDCJAC0010,086282,2021,10,08,20.7,1,N
IDCJAC0010,086282,2021,10,09,24.7,1,N
IDCJAC0010,086282,2021,10,10,14.9,1,N
IDCJAC0010,086282,2021,10,11,13.8,1,N
IDCJAC0010,086282,2021,10,12,20.5,1,N
IDCJAC0010,086282,2021,10,13,19.7,1,N
IDCJAC0010,086282,2021,10,14,18.4,1,N
IDCJAC0010,086282,2021,10,15,16.5,1,N
IDCJAC0010,086282,2021,10,16,16.1,1,N
IDCJAC0010,086282,2021,10,17,17.7,1,N
IDCJAC0010,086282,2021,10,18,17.4,1,N
IDCJAC0010,086282,2021,10,19,16.5,1,N
IDCJAC0010,086282,2021,10,20,23.1,1,N
IDCJAC0010,086282,2021,10,21,24.5,1,N
IDCJAC0010,086282,2021,10,22,26.3,1,N
IDCJAC0010,086282,2021,10,23,15.0,1,N
IDCJAC0010,086282,2021,10,24,15.6,1,N
IDCJAC0010,086282,2021,10,25,14.5,1,N
IDCJAC0010,086282,2021,10,26,20.0,1,N
IDCJAC0010,086282,2021,10,27,26.9,1,N
IDCJAC0010,086282,2021,10,28,27.3,1,N
IDCJAC0010,086282,2021,10,29,16.3,1,N
IDCJAC0010,086282,2021,10,30,15.6,1,N
IDCJAC0010,086282,2021,10,31,20.8,1,N
IDCJAC0010,086282,2021,11,01,24.4,1,N
IDCJAC0010,086282,2021,11,02,28.9,1,N
IDCJAC0010,086282,2021,11,03,21.2,1,N
IDCJAC0010,086282,2021,11,04,18.5,1,N
IDCJAC0010,086282,2021,11,05,24.1,1,N
IDCJAC0010,086282,2021,11,06,25.3,1,N
IDCJAC0010,086282,2021,11,07,15.4,1,N
IDCJAC0010,086282,2021,11,08,16.9,1,N
IDCJAC0010,086282,2021,11,09,20.3,1,N
IDCJAC0010,086282,2021,11,10,14.3,1,N
IDCJAC0010,086282,2021,11,11,16.1,1,N
IDCJAC0010,086282,2021,11,12,12.9,1,N
IDCJAC0010,086282,2021,11,13,14.9,1,N
IDCJAC0010,086282,2021,11,14,15.4,1,N
IDCJAC0010,086282,2021,11,15,15.5,1,N
IDCJAC0010,086282,2021,11,16,13.7,1,N
IDCJAC0010,086282,2021,11,17,19.5,1,N
IDCJAC0010,086282,2021,11,18,25.6,1,N
IDCJAC0010,086282,2021,11,19,16.8,1,N
IDCJAC0010,086282,2021,11,20,17.1,1,N
IDCJAC0010,086282,2021,11,21,17.7,1,N
IDCJAC0010,086282,2021,11,22,22.1,1,N
IDCJAC0010,086282,2021,11,23,25.0,1,N
IDCJAC0010,086282,2021,11,24,27.4,1,N
IDCJAC0010,086282,2021,11,25,15.9,1,N
IDCJAC0010,086282,2021,11,26,19.8,1,N
IDCJAC0010,086282,2021,11,27,21.1,1,N
IDCJAC0010,086282,2021,11,28,22.6,1,N
IDCJAC0010,086282,2021,11,29,28.9,1,N
IDCJAC0010,086282,2021,11,30,31.1,1,N
IDCJAC0010,086282,2021,12,01,32.7,1,Y
IDCJAC0010,086282,2021,12,02,32.6,1,Y
IDCJAC0010,086282,2021,12,03,20.5,1,Y
IDCJAC0010,086282,2021,12,04,18.8,1,Y
IDCJAC0010,086282,2021,12,05,21.1,1,Y
IDCJAC0010,086282,2021,12,06,26.8,1,Y
IDCJAC0010,086282,2021,12,07,14.9,1,Y
IDCJAC0010,086282,2021,12,08,16.8,1,Y
IDCJAC0010,086282,2021,12,09,16.7,1,Y
